,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158820,17307079,House,45000000,Lahore,Punjab,31.471132,74.445162,6,5,2019-07-17,Plotseek Real Estate & Builders,Faisal Malik,5445.0,2019,7,2019-07-01
158821,17307082,House,16000000,Lahore,Punjab,31.324753,74.24386,6,6,2019-07-18,Trust Real Estate & Marketing,Mohsin khan,5445.0,2019,7,2019-07-01
158822,17307140,House,7000000,Lahore,Punjab,31.588479,74.400444,3,3,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,1361.255,2019,7,2019-07-01
158823,17307144,House,3200000,Lahore,Punjab,31.588479,74.400444,2,2,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,544.502,2019,7,2019-07-01
158824,17307145,House,21300000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158825,17307148,House,3200000,Lahore,Punjab,31.588479,74.400444,2,2,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,544.502,2019,7,2019-07-01
158826,17307150,House,20200000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158827,17307151,House,12000000,Lahore,Punjab,31.598386,74.480821,4,4,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,1633.506,2019,7,2019-07-01
158828,17307152,House,19700000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158829,17307153,House,20500000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158830,17307154,House,12000000,Lahore,Punjab,31.598386,74.480821,4,4,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,1633.506,2019,7,2019-07-01
158831,17307156,House,8500000,Lahore,Punjab,31.588479,74.400444,4,4,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,1361.255,2019,7,2019-07-01
