,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
54851,15594837,Flat,55000,Karachi,Sindh,24.820432,67.029383,2,2,2019-04-19,Chaudhry Estate,SYED KARIM SHAH,14429.302999999998,2019,4,2019-04-01
54852,15594931,Upper Portion,130000,Karachi,Sindh,24.805045,67.064323,4,4,2019-04-19,Zamen Real Estate & Builders,Muhammad Saeed,5445.0,2019,4,2019-04-01
54853,15595127,Flat,40000,Karachi,Sindh,24.834337,67.055397,3,3,2019-06-20,Dreamland Associates,Qaiser Qureshi,13340.299,2019,6,2019-06-01
54854,15595231,Upper Portion,130000,Karachi,Sindh,24.805045,67.064323,3,3,2019-04-19,Zamen Real Estate & Builders,Muhammad Saeed,5445.0,2019,4,2019-04-01
54855,15595923,Upper Portion,150000,Karachi,Sindh,24.842983,67.065697,3,3,2019-06-17,Usman Associates,Maqsood Ahmed Abdul Shakoor,65340.0,2019,6,2019-06-01
54856,15596069,House,550000,Karachi,Sindh,24.863952,67.075031,5,0,2019-04-19,Bilwany Associates,Zeeshan Bilwany,65340.0,2019,4,2019-04-01
54857,15596197,House,350000,Karachi,Sindh,24.88122,67.060246,0,14,2019-04-19,Bilwany Associates,Zeeshan Bilwany,4900.518,2019,4,2019-04-01
54858,15597659,Flat,55000,Karachi,Sindh,24.813129,67.076319,2,2,2019-05-18,Ameen Associates,Faizan Hashmi,11979.043999999998,2019,5,2019-05-01
54859,15597989,Flat,90000,Karachi,Sindh,24.841065,67.037424,0,3,2019-04-19,Chaudhry Estate,Javed Amin,25319.343,2019,4,2019-04-01
54860,15597990,Flat,92000,Karachi,Sindh,24.841065,67.037424,0,3,2019-04-19,Chaudhry Estate,Javed Amin,25319.343,2019,4,2019-04-01
54861,15598322,Lower Portion,105000,Karachi,Sindh,24.824093,67.061405,4,3,2019-05-19,Ameen Associates,Faizan Hashmi,3267.012,2019,5,2019-05-01
54862,15598690,House,250000,Karachi,Sindh,24.805045,67.064323,4,4,2019-04-19,MAH Enterprises,Mohsin Naseer Shaikh,5445.0,2019,4,2019-04-01
54863,15598715,Flat,225000,Karachi,Sindh,24.817883,67.032915,3,3,2019-07-09,VIP Estate,Vip Estate,24230.339,2019,7,2019-07-01
54865,15599590,Upper Portion,120000,Karachi,Sindh,24.782215,67.074537,4,3,2019-04-19,MIK Associates,Najeeb Ashfaq,5445.0,2019,4,2019-04-01
54866,15599725,Upper Portion,140000,Karachi,Sindh,24.824093,67.061405,4,4,2019-04-19,MIK Associates,Najeeb Ashfaq,5445.0,2019,4,2019-04-01
54867,15600077,Flat,50000,Karachi,Sindh,24.810265,67.043552,0,0,2019-04-19,Raja Hameed & Sons,Raja Humayoun Hameed,13340.299,2019,4,2019-04-01
54869,15600133,Flat,50000,Karachi,Sindh,24.805045,67.064323,2,2,2019-06-17,Rizwan Estate,Abdul Rehman,11979.043999999998,2019,6,2019-06-01
54871,15600464,Flat,60000,Karachi,Sindh,24.805045,67.064323,3,3,2019-06-17,Rizwan Estate,Abdul Rehman,14429.302999999998,2019,6,2019-06-01
54873,15600595,Upper Portion,130000,Karachi,Sindh,24.819653,67.077749,3,3,2019-04-19,MIK Associates,Najeeb Ashfaq,5445.0,2019,4,2019-04-01
54874,15600640,House,800000,Karachi,Sindh,24.782215,67.074537,0,10,2019-07-12,Hayat Real Estate,Waqas Malik,10890.0,2019,7,2019-07-01
54875,15600689,Upper Portion,120000,Karachi,Sindh,24.821639,67.071691,3,3,2019-04-19,MIK Associates,Najeeb Ashfaq,5445.0,2019,4,2019-04-01
54876,15600776,Flat,30000,Karachi,Sindh,24.920965,67.122366,3,3,2019-04-19,I. T Estate,Shahryar,1633.506,2019,4,2019-04-01
54877,15601109,House,500000,Karachi,Sindh,24.805045,67.064323,4,4,2019-07-04,A. K. Associates,Khalid mehmood,65340.0,2019,7,2019-07-01
54878,15601387,Flat,85000,Karachi,Sindh,24.899769,67.120412,3,3,2019-06-19,Erum Associates,Mohsin Tariq,29130.857,2019,6,2019-06-01
54879,15601836,Flat,6000000,Karachi,Sindh,25.020961,67.321172,0,0,2019-05-06,Alliance Properties,Alliance properties,11434.542,2019,5,2019-05-01
54886,15602257,Flat,17500000,Karachi,Sindh,24.92863,67.064466,4,4,2019-04-06,Al Jabbar Real Estate & Marketing,Asif Ali Khan,28314.104,2019,4,2019-04-01
54888,15602497,Flat,31000000,Karachi,Sindh,24.841065,67.037424,3,3,2019-05-06,Founder Estate,Bilal Hanif,20691.076,2019,5,2019-05-01
54890,15602587,House,24500000,Karachi,Sindh,24.941005,67.066205,5,5,2019-06-14,Qazi Real Estate,Qazi Awai adil shehz,2178.008,2019,6,2019-06-01
54891,15602593,Lower Portion,35000000,Karachi,Sindh,24.820432,67.029383,0,3,2019-05-06,Land Mark Properties,Zulfiqar Warraich,30219.861,2019,5,2019-05-01
54892,15602595,Flat,12500000,Karachi,Sindh,24.791955,67.065082,2,2,2019-05-06,Citi Assets,Manoj chouhan,11434.542,2019,5,2019-05-01
54893,15602618,Flat,23500000,Karachi,Sindh,24.805045,67.064323,0,3,2019-05-06,Land Mark Properties,Zulfiqar Warraich,20691.076,2019,5,2019-05-01
54894,15602620,House,95000000,Karachi,Sindh,24.805045,67.064323,5,4,2019-04-06,Foundation Estate,Salman Shah,5445.0,2019,4,2019-04-01
54896,15602786,Flat,11500000,Karachi,Sindh,24.794215,67.06461,2,2,2019-04-06,Property Planet,Touseef Nazakat,11434.542,2019,4,2019-04-01
54898,15603202,Flat,50000000,Karachi,Sindh,24.791838,67.044668,3,3,2019-07-12,Real Estate Gallery,Ihtisham Asif,33759.124,2019,7,2019-07-01
54899,15604348,House,30000000,Karachi,Sindh,24.934623,67.099164,8,7,2019-06-21,Memon N Memon Estate,Muhammad Ali Memon,2178.008,2019,6,2019-06-01
54900,15607502,Upper Portion,6000000,Karachi,Sindh,24.91493,67.026644,3,2,2019-04-06,Azan Estate & Builders,Kashif Hussain,13340.299,2019,4,2019-04-01
54901,15607515,Flat,4500000,Karachi,Sindh,24.922948,67.024326,2,2,2019-04-06,Azan Estate & Builders,Kashif Hussain,9801.036,2019,4,2019-04-01
54902,15607519,Flat,6500000,Karachi,Sindh,24.91493,67.026644,3,3,2019-04-06,Azan Estate & Builders,Kashif Hussain,13340.299,2019,4,2019-04-01
54903,15607537,Flat,1600000,Karachi,Sindh,24.826235,67.108905,1,2,2019-06-05,Ghazi Estate Construction,Faizan,544.502,2019,6,2019-06-01
54904,15607612,Flat,1300000,Karachi,Sindh,24.826235,67.108905,1,2,2019-06-05,Ghazi Estate Construction,Faizan,544.502,2019,6,2019-06-01
54905,15607622,House,12200000,Karachi,Sindh,24.97466,67.054667,2,2,2019-04-06,Fine Associates & Constructions,Umair  Arshian,13068.048,2019,4,2019-04-01
54906,15607632,Flat,1400000,Karachi,Sindh,24.826235,67.108905,1,2,2019-06-05,Ghazi Estate Construction,Faizan,544.502,2019,6,2019-06-01
54907,15607641,Flat,1500000,Karachi,Sindh,24.826235,67.108905,1,2,2019-06-05,Ghazi Estate Construction,Faizan,544.502,2019,6,2019-06-01
54908,15607646,Upper Portion,14000000,Karachi,Sindh,24.948943,67.045097,3,3,2019-06-14,Paracha Associates,Waseem Paracha,2178.008,2019,6,2019-06-01
54909,15607655,Flat,1600000,Karachi,Sindh,24.826235,67.108905,1,2,2019-06-05,Ghazi Estate Construction,Faizan,544.502,2019,6,2019-06-01
54910,15607672,Flat,32500000,Karachi,Sindh,24.874922,67.057322,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,36209.383,2019,4,2019-04-01
54911,15607679,Lower Portion,22000000,Karachi,Sindh,24.88776,67.076926,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,18240.817,2019,4,2019-04-01
54912,15607682,Flat,23500000,Karachi,Sindh,24.88776,67.076926,3,3,2019-04-09,Al Arz Estate & Developers,Owais Arif,21507.829,2019,4,2019-04-01
54913,15607701,Flat,38500000,Karachi,Sindh,24.882174,67.067306,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,26680.598,2019,4,2019-04-01
54914,15607710,Flat,42500000,Karachi,Sindh,24.874922,67.057322,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,3267.012,2019,4,2019-04-01
54915,15601919,House,65000000,Islamabad,Islamabad Capital,33.698137,72.978215,7,6,2019-06-12,Land Square Estate,Asif Shah,5445.0,2019,6,2019-06-01
54917,15602186,House,24000000,Islamabad,Islamabad Capital,33.658781,73.05459,5,4,2019-04-05,Gems Real Estate,Khurram Shahzad,18240.817,2019,4,2019-04-01
54918,15602223,House,3650000,Islamabad,Islamabad Capital,33.492591,73.301339,2,2,2019-05-05,Salaar Estate,Haji Muhammad Idress,1361.255,2019,5,2019-05-01
54919,15602232,House,43600000,Islamabad,Islamabad Capital,33.600282,72.88833,4,4,2019-06-26,Multi National Associates,Tayyab Sheikh,2722.51,2019,6,2019-06-01
54920,15602287,House,3650000,Islamabad,Islamabad Capital,33.492591,73.301339,2,2,2019-05-05,Salaar Estate,Umar Bajwa,1361.255,2019,5,2019-05-01
54921,15602340,Flat,13800000,Islamabad,Islamabad Capital,33.600282,72.88833,0,0,2019-06-26,Multi National Associates,Tayyab Sheikh,7623.027999999999,2019,6,2019-06-01
54922,15602346,House,19000000,Islamabad,Islamabad Capital,33.631987,72.880297,8,6,2019-06-26,Prestige Associates,Hassan Ahmed,29675.359,2019,6,2019-06-01
54923,15602355,House,7000000,Islamabad,Islamabad Capital,33.492591,73.301339,3,3,2019-05-04,Salaar Estate,Umar Bajwa,2178.008,2019,5,2019-05-01
54924,15602370,House,350000000,Islamabad,Islamabad Capital,33.600282,72.88833,0,0,2019-06-26,Multi National Associates,Tayyab Sheikh,21780.0,2019,6,2019-06-01
54925,15602388,House,16500000,Islamabad,Islamabad Capital,33.644456,72.943296,5,4,2019-05-04,Ziyam Properties,Sajid Ch,1361.255,2019,5,2019-05-01
54926,15602404,Flat,4140000,Islamabad,Islamabad Capital,33.68064,72.822189,0,0,2019-05-05,Multi National Associates,Tayyab Sheikh,816.7529999999999,2019,5,2019-05-01
54927,15602441,House,17500000,Islamabad,Islamabad Capital,33.631486,72.926559,5,5,2019-07-03,Faisal Enterprises,Masood Rao,2178.008,2019,7,2019-07-01
54928,15602480,Flat,7500000,Islamabad,Islamabad Capital,33.631486,72.926559,3,3,2019-07-01,Faisal Enterprises,Masood Rao,21235.578,2019,7,2019-07-01
54929,15603462,House,21500000,Islamabad,Islamabad Capital,33.570793,73.145256,6,6,2019-06-04,Saif Khan Real Estate,Saif Khan,3267.012,2019,6,2019-06-01
54930,15603946,House,32500000,Islamabad,Islamabad Capital,33.699958,72.970119,5,5,2019-05-05,Ahmed Associates,M. Safdar Cheema,2450.259,2019,5,2019-05-01
54931,15603951,House,32500000,Islamabad,Islamabad Capital,33.699958,72.970119,5,5,2019-05-05,Ahmed Associates,M. Safdar Cheema,2450.259,2019,5,2019-05-01
54932,15606585,Flat,3500000,Islamabad,Islamabad Capital,33.668354,72.826567,0,2,2019-07-02,Islamabad Real Estate & Builders,Zakir Khan,8439.780999999999,2019,7,2019-07-01
54933,15606586,House,7000000,Islamabad,Islamabad Capital,33.668354,72.826567,0,2,2019-07-02,Islamabad Real Estate & Builders,Zakir Khan,1361.255,2019,7,2019-07-01
54934,15607922,House,30000000,Islamabad,Islamabad Capital,33.495254,73.124993,7,5,2019-06-04,Beacon Real Estate,Mian Usman,70785.0,2019,6,2019-06-01
54935,15611521,House,25000000,Islamabad,Islamabad Capital,33.642563,73.035994,4,5,2019-06-12,Chaudhary Associates,Muhammad Irfan Kalair,25319.343,2019,6,2019-06-01
54936,15611522,House,17500000,Islamabad,Islamabad Capital,33.646421,73.045263,0,4,2019-05-05,Chaudhary Associates,Muhammad Irfan Kalair,15246.056,2019,5,2019-05-01
54937,15611523,House,16500000,Islamabad,Islamabad Capital,33.649779,73.029385,0,0,2019-06-03,Chaudhary Associates,Muhammad Irfan Kalair,18240.817,2019,6,2019-06-01
54938,15611525,House,25000000,Islamabad,Islamabad Capital,33.642563,73.035994,0,5,2019-05-05,Chaudhary Associates,Muhammad Irfan Kalair,25319.343,2019,5,2019-05-01
54939,15611738,House,38000000,Islamabad,Islamabad Capital,33.686496,73.039076,4,4,2019-06-19,Silk Land Property Advisors,Muhammad,2722.51,2019,6,2019-06-01
54941,15612718,House,90000000,Islamabad,Islamabad Capital,33.720413,73.056493,5,5,2019-04-05,Executive Heights,Ashfaq Ahmed,5445.0,2019,4,2019-04-01
54942,15612880,House,46500000,Islamabad,Islamabad Capital,33.540894,73.095732,7,5,2019-06-19,VIP Properties,Fahad Ali,5445.0,2019,6,2019-06-01
54943,15612933,Flat,5000000,Islamabad,Islamabad Capital,33.631486,72.926559,1,1,2019-06-04,Land Point Estate,Mehran,7623.027999999999,2019,6,2019-06-01
54947,15614094,Flat,4950000,Islamabad,Islamabad Capital,33.637489,72.972193,1,1,2019-04-05,New Beam Real Estate,Muhammad Irfan,1089.004,2019,4,2019-04-01
54948,15614928,House,38000000,Islamabad,Islamabad Capital,33.488742,73.132077,0,0,2019-06-26,Total Care Estate,Ch Sajjad Qaiser,81675.0,2019,6,2019-06-01
54949,15601797,Upper Portion,120000,Islamabad,Islamabad Capital,33.691531,73.005431,4,3,2019-06-17,Land Square Estate,Waseem Kazmi,59895.0,2019,6,2019-06-01
54950,15601816,Lower Portion,130000,Islamabad,Islamabad Capital,33.699958,72.970119,5,4,2019-04-05,MMC Real Estate,Ramiz Raja,5445.0,2019,4,2019-04-01
54951,15601868,Upper Portion,85000,Islamabad,Islamabad Capital,33.698137,72.978215,4,3,2019-04-05,MMC Real Estate,Ramiz Raja,5445.0,2019,4,2019-04-01
54952,15601928,Upper Portion,60000,Islamabad,Islamabad Capital,33.698137,72.978215,3,3,2019-04-05,MMC Real Estate,Ramiz Raja,38659.642,2019,4,2019-04-01
54953,15601961,House,160000,Islamabad,Islamabad Capital,33.704599,72.978702,6,6,2019-04-05,MMC Real Estate,Ramiz Raja,5445.0,2019,4,2019-04-01
54954,15602197,Flat,60000,Islamabad,Islamabad Capital,33.680818,72.989323,2,2,2019-06-20,Victory Enterprise,Afzaal Ahmed,20691.076,2019,6,2019-06-01
54956,15602511,House,170000,Islamabad,Islamabad Capital,33.704599,72.978702,6,6,2019-05-05,MMC Real Estate,Ramiz Raja,5445.0,2019,5,2019-05-01
54958,15602525,Upper Portion,85000,Islamabad,Islamabad Capital,33.698137,72.978215,3,3,2019-04-05,MMC Real Estate,Ramiz Raja,5445.0,2019,4,2019-04-01
54960,15602559,Lower Portion,185000,Islamabad,Islamabad Capital,33.704599,72.978702,6,6,2019-04-05,MMC Real Estate,Ramiz Raja,5445.0,2019,4,2019-04-01
54962,15604073,Flat,43000,Islamabad,Islamabad Capital,33.675604,73.000367,2,2,2019-04-05,Gateway Associates,Safiullah Abbasi,17424.064,2019,4,2019-04-01
54963,15605109,Flat,55000,Islamabad,Islamabad Capital,33.698137,72.978215,2,2,2019-04-05,Estate Masters,abbas,19329.821,2019,4,2019-04-01
54964,15605404,Upper Portion,25000,Islamabad,Islamabad Capital,33.631486,72.926559,2,2,2019-04-05,Orient Associates,Orient Associates,1905.757,2019,4,2019-04-01
54965,15605830,Upper Portion,110000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-06-13,Eagle Real Estate,Imran Ali,5445.0,2019,6,2019-06-01
54968,15609661,Lower Portion,20000,Islamabad,Islamabad Capital,33.619337,73.125315,2,2,2019-06-17,BlueSky Enterprises,BlueSky Enterprises,15246.056,2019,6,2019-06-01
54969,15609953,Upper Portion,80000,Islamabad,Islamabad Capital,33.683425,72.980804,4,3,2019-04-05,SJ Properties,Mian Irfan Saeed,4356.016,2019,4,2019-04-01
54971,15610456,Flat,26000,Islamabad,Islamabad Capital,33.5244025,73.1469834,4,3,2019-04-05,Fozan Real Estate,Bilal Hussain,18240.817,2019,4,2019-04-01
54972,15610641,Lower Portion,55000,Islamabad,Islamabad Capital,33.693852,72.970591,3,3,2019-04-05,Estate Masters,abbas,3267.012,2019,4,2019-04-01
54973,15612001,Upper Portion,95000,Islamabad,Islamabad Capital,33.695352,73.006983,3,3,2019-06-27,Oriel Associates,A Hameed Qureshi,70785.0,2019,6,2019-06-01
54974,15612009,House,350000,Islamabad,Islamabad Capital,33.720413,73.056493,0,0,2019-04-05,Property Exchange Center,Nasrullah Nasir,70785.0,2019,4,2019-04-01
54975,15612011,House,500000,Islamabad,Islamabad Capital,33.720413,73.056493,0,0,2019-04-05,Property Exchange Center,Nasrullah Nasir,130680.0,2019,4,2019-04-01
54976,15612241,House,70000,Islamabad,Islamabad Capital,33.527944,73.161392,6,5,2019-04-05,Reliance Property Hub,Haider Rizwan,2722.51,2019,4,2019-04-01
54977,15612284,House,150000,Islamabad,Islamabad Capital,33.691531,73.005431,5,5,2019-06-27,Oriel Associates,A Hameed Qureshi,5445.0,2019,6,2019-06-01
54978,15612451,Lower Portion,52000,Islamabad,Islamabad Capital,33.527944,73.161392,3,3,2019-04-05,Reliance Property Hub,Haider Rizwan,5445.0,2019,4,2019-04-01
54979,15612516,Flat,45000,Islamabad,Islamabad Capital,33.667854,73.003843,2,2,2019-04-05,Capital Marketing,Mian Muhammad Farooq,8439.780999999999,2019,4,2019-04-01
54980,15612537,House,70000,Islamabad,Islamabad Capital,33.527944,73.161392,5,5,2019-04-05,Reliance Property Hub,M. Rehan Baig,2722.51,2019,4,2019-04-01
54981,15612869,House,600000,Islamabad,Islamabad Capital,33.730907,73.074431,0,0,2019-06-13,Worldcon Real Estate,SHARAQAT ABBASI,98010.0,2019,6,2019-06-01
54982,15614298,House,65000,Islamabad,Islamabad Capital,33.527944,73.161392,6,5,2019-04-05,MM Associates,Maj R Altaf Hussain,2722.51,2019,4,2019-04-01
54983,15614496,Lower Portion,65000,Islamabad,Islamabad Capital,33.693852,72.970591,4,3,2019-04-05,Estate Masters,abbas,4356.016,2019,4,2019-04-01
54984,15614746,Upper Portion,76000,Islamabad,Islamabad Capital,33.704599,72.978702,4,3,2019-05-05,SJ Properties,Mian Irfan Saeed,5445.0,2019,5,2019-05-01
54987,15605910,House,6500000,Faisalabad,Punjab,31.405993,73.04251,0,0,2019-04-17,Fahad Estate Agency,Muhammad Fahad,1361.255,2019,4,2019-04-01
54988,15605915,House,6800000,Faisalabad,Punjab,31.405993,73.04251,0,0,2019-04-17,Fahad Estate Agency,Muhammad Fahad,1361.255,2019,4,2019-04-01
54989,15605926,House,8500000,Faisalabad,Punjab,31.40016,73.030949,0,0,2019-04-17,Fahad Estate Agency,Muhammad Fahad,1905.757,2019,4,2019-04-01
54990,15605936,House,7000000,Faisalabad,Punjab,31.40016,73.030949,0,0,2019-04-18,Fahad Estate Agency,Muhammad Fahad,1361.255,2019,4,2019-04-01
54991,15605945,House,7500000,Faisalabad,Punjab,31.40896,73.037574,0,0,2019-04-18,Fahad Estate Agency,Muhammad Fahad,1361.255,2019,4,2019-04-01
54992,15611949,House,20000000,Faisalabad,Punjab,31.436061,73.154585,6,4,2019-06-25,Hakim Estate & Builders,Muhammad Salman Sandhu,1905.757,2019,6,2019-06-01
54996,15604180,House,23300000,Rawalpindi,Punjab,33.560887,73.125937,7,6,2019-04-05,Zaid Ashraf Estate & Builders,Zaid Ashraf,4083.765,2019,4,2019-04-01
54997,15604611,House,7500000,Rawalpindi,Punjab,33.53681607,73.10126781,4,4,2019-06-20,Deddar Enterprises,Muhammad Khalil Ahmed Abdullaha,1633.506,2019,6,2019-06-01
54998,15605367,House,5200000,Rawalpindi,Punjab,33.544952,72.997505,3,3,2019-07-02,Poonch Kashmir Builders,Muhammad Jamil Kiani,2178.008,2019,7,2019-07-01
54999,15605409,House,4500000,Rawalpindi,Punjab,33.544952,72.997505,3,3,2019-07-02,Poonch Kashmir Builders,Muhammad Jamil Kiani,1633.506,2019,7,2019-07-01
55000,15605677,House,5000000,Rawalpindi,Punjab,33.543125,72.98946,5,5,2019-05-06,Link 2 Link Real Estate,Ch. Sohail,1361.255,2019,5,2019-05-01
55001,15605701,House,3500000,Rawalpindi,Punjab,33.547454,73.003426,3,3,2019-05-06,Link 2 Link Real Estate,Ch. Sohail,1361.255,2019,5,2019-05-01
55002,15605957,House,14000000,Rawalpindi,Punjab,33.602664,73.030196,6,4,2019-04-05,Zaid Ashraf Estate & Builders,Zaid Ashraf,1633.506,2019,4,2019-04-01
55004,15607405,House,15000000,Rawalpindi,Punjab,33.53681607,73.10126781,6,6,2019-06-20,Deddar Enterprises,Muhammad Khalil Ahmed Abdullaha,4900.518,2019,6,2019-06-01
55005,15610690,House,4800000,Rawalpindi,Punjab,33.514704,73.049449,3,3,2019-04-05,Al Haseeb Property,Imran Abbas,1361.255,2019,4,2019-04-01
55006,15611368,House,26000000,Rawalpindi,Punjab,33.531951,73.115215,5,4,2019-04-05,Buy Best Properties,Ehtisham,29675.359,2019,4,2019-04-01
55007,15612245,Flat,7500000,Rawalpindi,Punjab,33.516674,73.106543,2,2,2019-06-27,The Managers Group Real Estate & Builders,Sub. R Malik Hanif,14429.302999999998,2019,6,2019-06-01
55009,15612995,House,23000000,Rawalpindi,Punjab,33.508588,73.071785,5,5,2019-07-01,National Property Center,"Tahir, Ch Asif, Ch Arif",2722.51,2019,7,2019-07-01
55011,15614936,Flat,5000000,Rawalpindi,Punjab,33.485576,73.08393,2,2,2019-05-05,Crescent Real Estate,Suleiman Zafar,14429.302999999998,2019,5,2019-05-01
55012,15604958,Room,6000,Faisalabad,Punjab,31.405151,73.062379,0,0,2019-04-17,Adeel Estate Agency,Khalid mehmood,1633.506,2019,4,2019-04-01
55013,15604964,Room,7000,Faisalabad,Punjab,31.405151,73.062379,0,0,2019-04-17,Adeel Estate Agency,Khalid mehmood,2994.7609999999995,2019,4,2019-04-01
55014,15610952,House,35000,Faisalabad,Punjab,31.424316,73.149465,0,0,2019-04-17,Gilani Royal Property Consultant,Abdul Rehman Farooqi,1361.255,2019,4,2019-04-01
55015,15611222,House,35000,Faisalabad,Punjab,31.424316,73.149465,0,0,2019-04-17,Gilani Royal Property Consultant,Abdul Rehman Farooqi,1361.255,2019,4,2019-04-01
55016,15612151,House,20000,Rawalpindi,Punjab,33.49116,73.093243,2,2,2019-06-17,Next Generation Real Estate & Builders,Muhammad umar,1361.255,2019,6,2019-06-01
55017,15615463,House,9000000,Lahore,Punjab,31.554713,74.325394,0,0,2019-05-03,Bright Star Consultant Pvt Ltd,Khawar Javaid,4900.518,2019,5,2019-05-01
55018,15616200,Lower Portion,2100000,Lahore,Punjab,31.375165,74.253992,2,2,2019-06-29,Hotline Associates,Khushman Zulfiqar,816.7529999999999,2019,6,2019-06-01
55020,15616481,House,48500000,Lahore,Punjab,31.47794,74.391947,6,5,2019-05-04,Al Sadiq Estate,Hafiz Zameer,5445.0,2019,5,2019-05-01
55022,15616883,House,18500000,Lahore,Punjab,31.494408,74.437666,5,4,2019-06-11,Leads Estates,Ilyas,2722.51,2019,6,2019-06-01
55023,15616892,House,86500000,Lahore,Punjab,31.478672,74.375424,6,5,2019-05-04,Al Sadiq Estate,Hafiz Zameer,81675.0,2019,5,2019-05-01
55024,15617174,House,37000000,Lahore,Punjab,31.462347,74.293642,8,7,2019-07-01,Future Estate & Marketing,M Waqas Abbas,5445.0,2019,7,2019-07-01
55025,15617305,House,14800000,Lahore,Punjab,31.352757,74.214141,5,5,2019-06-02,Master Deals,Mr. Sajjad,2722.51,2019,6,2019-06-01
55026,15617416,House,23500000,Lahore,Punjab,31.462347,74.293642,6,5,2019-07-01,Future Estate & Marketing,M Waqas Abbas,2722.51,2019,7,2019-07-01
55027,15618058,House,20000000,Lahore,Punjab,31.368955,74.179244,6,5,2019-06-28,Land Holders Real Estate & Builders,Mian Farooq,2722.51,2019,6,2019-06-01
55028,15618487,House,25000000,Lahore,Punjab,31.442248,74.402375,5,5,2019-06-29,AA Real Estate Agent,Farman,2722.51,2019,6,2019-06-01
55030,15619078,Flat,3300000,Lahore,Punjab,31.511679,74.312525,2,2,2019-06-27,Lodhi Estate,Zaheer Ahmed,5989.521999999999,2019,6,2019-06-01
55031,15619088,House,22000000,Lahore,Punjab,31.368955,74.179244,0,5,2019-04-03,Safari Properties,Mr. Babar,2722.51,2019,4,2019-04-01
55032,15620014,House,4000000,Lahore,Punjab,31.563398,74.3891,1,1,2019-04-04,Bismillah Estate Advisor,Awais Ali,6806.275,2019,4,2019-04-01
55034,15620842,House,24000000,Lahore,Punjab,31.475378,74.373808,5,4,2019-04-03,Harum Real Estate & Builders,Ali Sheikh,2722.51,2019,4,2019-04-01
55036,15621393,House,65000000,Lahore,Punjab,31.510471,74.350526,10,10,2019-06-11,Leads Estates,Ilyas,5445.0,2019,6,2019-06-01
55037,15621454,House,5500000,Lahore,Punjab,31.375165,74.253992,2,3,2019-06-29,Hotline Associates,Khushman Zulfiqar,1361.255,2019,6,2019-06-01
55040,15621977,House,21600000,Lahore,Punjab,31.511752,74.278293,7,6,2019-06-28,Ahmed Real Estate & Builders,Zeeshan Ahemd Baig,2722.51,2019,6,2019-06-01
55041,15622057,House,19000000,Lahore,Punjab,31.504068,74.277177,6,6,2019-04-04,Ahmed Real Estate & Builders,Zeeshan Ahemd Baig,2722.51,2019,4,2019-04-01
55043,15622370,House,17200000,Lahore,Punjab,31.500848,74.272971,5,5,2019-06-28,Ahmed Real Estate & Builders,Zeeshan Ahemd Baig,2722.51,2019,6,2019-06-01
55044,15622570,House,47500000,Lahore,Punjab,31.462493,74.409342,6,5,2019-06-18,Leads Estates,Ilyas,5445.0,2019,6,2019-06-01
55045,15622693,House,45000000,Lahore,Punjab,31.462493,74.409342,6,5,2019-06-18,Leads Estates,Ilyas,5445.0,2019,6,2019-06-01
55046,15622802,House,4500000,Lahore,Punjab,31.381284,74.251868,0,0,2019-06-29,Hotline Associates,Khushman Zulfiqar,816.7529999999999,2019,6,2019-06-01
55047,15622839,House,111100000,Lahore,Punjab,31.483283,74.395723,8,7,2019-06-18,Leads Estates,Ilyas,10890.0,2019,6,2019-06-01
55048,15622959,House,43000000,Lahore,Punjab,31.471571,74.445906,6,5,2019-06-25,Richmoor Real Estate,Abid Malik,5445.0,2019,6,2019-06-01
55062,15624186,House,52000000,Lahore,Punjab,31.495909,74.350569,6,5,2019-06-04,MATZ Services,Group Captain R Tajammul Baig,5445.0,2019,6,2019-06-01
55065,15624382,House,23000000,Lahore,Punjab,31.375843,74.189715,7,5,2019-04-04,Building Solutions,Syed Asad Raza,2722.51,2019,4,2019-04-01
55066,15624613,House,6500000,Lahore,Punjab,31.463563,74.245571,3,3,2019-06-12,Raza Group Real Estate and Builders,Mian Iftikhar Amjad,816.7529999999999,2019,6,2019-06-01
55067,15624616,House,10200000,Lahore,Punjab,31.376439,74.179977,3,3,2019-05-03,Bahria Property Bank,Mian Yaseen,1361.255,2019,5,2019-05-01
55069,15624917,Flat,24000000,Lahore,Punjab,31.461468,74.415529,3,3,2019-06-25,Maan Estate,Usman Maan,20963.327,2019,6,2019-06-01
55071,15626752,House,15500000,Lahore,Punjab,31.490127,74.418805,5,4,2019-04-04,Ajwa Associates,Umer Draz,2994.7609999999995,2019,4,2019-04-01
55072,15607723,Upper Portion,30000000,Karachi,Sindh,24.882174,67.067306,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,26680.598,2019,4,2019-04-01
55073,15607728,Flat,18000000,Karachi,Sindh,24.874922,67.057322,3,3,2019-04-09,Al Arz Estate & Developers,Owais Arif,16879.561999999998,2019,4,2019-04-01
55074,15607732,House,40000000,Karachi,Sindh,24.88776,67.076926,4,4,2019-04-09,Al Arz Estate & Developers,Owais Arif,17424.064,2019,4,2019-04-01
